t,x,y
94.605797,148.028153,13.450019
94.7258,148.362304,13.406395
94.871201,148.766993,13.353563
95.0298,149.194161,13.296502
95.182495,149.587959,13.242295
95.263,149.795821,13.213682
95.380196,150.097974,13.17209
95.525795,150.473765,13.120361
95.683601,150.88077,13.064336
95.839294,151.282352,13.009057
95.920296,151.49133,12.980291
96.034195,151.785232,12.939835
96.180397,152.16232,12.887927
96.3377,152.567976,12.832088
96.496201,152.976849,12.775805
96.5774,153.186475,12.74695
96.688301,153.472619,12.707561
96.834999,153.850927,12.655486
96.992096,154.256142,12.599707
97.153,154.671398,12.542546
97.234497,154.881491,12.513626
97.344002,155.163951,12.474745
97.489799,155.540131,12.422963
97.6464,155.9441,12.367356
97.809998,156.366103,12.309266
97.891602,156.576585,12.280292
97.999397,156.854763,12.242001
98.144699,157.229465,12.190422
98.300797,157.632085,12.135
98.466995,158.061015,12.075957
98.548698,158.271757,12.046948
98.6548,158.545498,12.009267
98.799599,158.918824,11.957877
98.9552,159.320251,11.90262
99.124001,159.75572,11.842676
99.205894,159.967084,11.813582
99.310295,160.236285,11.776525
99.4543,160.60782,11.725383
99.609497,161.008313,11.670254
99.780899,161.45045,11.609392
99.863197,161.662593,11.58019
99.965698,161.927353,11.543995
100.109001,162.300198,11.49813
100.263695,162.702993,11.448582
100.436699,163.153176,11.393204
100.520294,163.37095,11.366415
100.6213,163.633624,11.334103
100.763695,164.0044,11.288493
100.917702,164.405337,11.239174
101.091995,164.85895,11.183374
101.177498,165.081593,11.155986
101.276901,165.340105,11.124186
101.418495,165.708682,11.078847
101.571701,166.107602,11.029775
101.747398,166.564802,10.973534
101.834396,166.791399,10.94566
101.932396,167.04635,10.914298
102.073502,167.413696,10.86911
102.2257,167.809946,10.820367
102.402596,168.270261,10.763743
102.491196,168.50089,10.735372
102.587898,168.752673,10.7044
102.728897,169.119548,10.65927
102.879799,169.512368,10.610949
103.057701,169.975616,10.553964
103.147697,170.209831,10.525153
103.243698,170.459651,10.494422
103.384094,170.825217,10.449453
103.533897,171.214974,10.401508
103.712898,171.681049,10.344176
103.8041,171.91838,10.314981
103.899498,172.166681,10.284437
104.039398,172.530912,10.239632
104.187996,172.917737,10.192048
104.368195,173.386587,10.134374
104.460495,173.626824,10.104822
104.555298,173.873764,10.074446
104.694801,174.236738,10.029796
104.842094,174.620264,9.982618
105.022995,175.095539,9.933197
105.116898,175.346598,9.915628
105.210999,175.598355,9.898011
105.350098,175.970343,9.87198
105.496201,176.361132,9.844633
105.677399,176.845523,9.810736
105.7733,177.101934,9.792793
105.866699,177.351647,9.775319
106.005196,177.722209,9.749387
106.151398,178.113133,9.722031
106.331696,178.595265,9.688293
106.429794,178.857458,9.669945
106.522301,179.10502,9.652621
106.660194,179.473645,9.626825
106.806702,179.865591,9.599398
106.986099,180.345087,9.565843
107.086296,180.613144,9.547085
107.178001,180.858446,9.529919
107.315102,181.225055,9.504265
107.462097,181.618076,9.476762
107.639999,182.093941,9.443462
107.742798,182.368615,9.424241
107.834099,182.61276,9.407156
107.9701,182.976518,9.381701
108.117294,183.370185,9.354153
108.2939,183.842553,9.321097
108.3993,184.124166,9.301391
108.490395,184.367828,9.28434
108.625099,184.728035,9.259133
108.772499,185.122186,9.231551
108.947601,185.590573,9.198774
109.056,185.880417,9.178491
109.146599,186.122653,9.16154
109.280098,186.479767,9.13655
109.427696,186.874294,9.108942
109.601196,187.338217,9.076477
109.712799,187.636695,9.05559
109.802795,187.877559,9.038735
109.935196,188.231606,9.01396
110.082901,188.60786,8.987644
110.2547,189.041335,8.957329
110.369499,189.331282,8.937052
110.459198,189.557437,8.921236
110.590302,189.888407,8.89809
110.738197,190.261719,8.871982
110.908195,190.690777,8.841976
111.026199,190.988441,8.821159
111.115395,191.213708,8.805405
111.245399,191.541657,8.782471
111.3936,191.91568,8.756314
111.561798,192.340219,8.726624
111.6828,192.64555,8.705271
111.7715,192.869445,8.689613
111.900696,193.195617,8.666802
112.048798,193.569437,8.640659
112.215401,193.989864,8.611257
112.339401,194.302759,8.589375
112.427399,194.524802,8.573846
112.556,194.849527,8.551137
112.704102,195.223296,8.524998
112.869095,195.639661,8.495879
112.995995,195.96002,8.473475
113.083298,196.180134,8.458082
113.211395,196.503488,8.435468
113.359001,196.87614,8.409407
113.522697,197.289205,8.38052
113.653099,197.618245,8.357508
113.739197,197.835541,8.342312
113.8666,198.157042,8.319828
114.013901,198.52878,8.293831
114.1763,198.93885,8.265153
114.310295,199.277004,8.241504
114.395096,199.490999,8.226539
114.521698,199.810546,8.204191
114.668495,200.180913,8.17829
114.830299,200.589257,8.149733
